f_hip,f_hd,f_2mass,Fe,C,O,Mg,Si,Ca,Ti,Li,N,F,Na,Al,P,K,Co,Ni,Cu,Zn,Be,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_name,f_p,f_m_p,f_e,f_a,
32768 ,50310 ,06495616-5036523 ,0.02 ,-0.14 ,-0.06 ,0.21 ,0.27 ,0.1 ,4.61436e-16 ,-3.29 ,,,0.3 ,0.23 ,,,0.06 ,0.04 ,0.13 ,0.02 ,,0.67 ,102.4840380 ,-50.6145530 ,-19.561 ,48.653 ,-19.086 ,55.80 ,thin ,K1III ,2.94 ,1.207 ,12.70 ,-36.20 ,-8.70 ,,,,,,,,,
54614 ,97004 ,11103799+4225346 ,0.35 ,,,,0.31 ,,0.38 ,,,,0.46 ,,,,,0.37 ,,,,,167.6583109 ,42.4262890 ,-0.218 ,-0.493 ,-36.458 ,36.46 ,thin ,K0 ,7.70 ,0.767 ,2.10 ,13.10 ,5.90 ,5617.0 ,4.51 ,,,,,,,
98314 ,189186 ,19583262+0755144 ,-0.345 ,-0.45 ,-0.24 ,-0.125 ,-0.22 ,-0.24 ,-0.25 ,-3.295 ,-0.27 ,,-0.285 ,-0.215 ,,,-0.3 ,-0.315 ,-0.41 ,-0.27 ,,-0.1 ,299.6359045 ,7.9206766 ,2.384 ,5.862 ,94.743 ,94.95 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,5002.0 ,3.13 ,,,,,,,
98316 ,188559 ,19583298-5456128 ,-0.01 ,0.07 ,0.13 ,0.0165 ,-0.013 ,0.03 ,0.223 ,,,,0.105 ,0.1 ,,,0.145 ,0.03 ,-0.07 ,-0.14 ,,0.85 ,299.6374341 ,-54.9368916 ,0.363 ,0.896 ,23.577 ,23.60 ,N/A ,K3+V ,8.54 ,1.050 ,9999.00 ,9999.00 ,9999.00 ,4739.5 ,4.33 ,,,,,,,
65550 ,116957 ,13261658+4601411 ,-0.04 ,-0.265 ,-0.07 ,-0.055 ,0.06 ,0.005 ,-0.045 ,-2.68 ,0.15 ,,0.005 ,0.085 ,,,0.015 ,-0.07 ,-0.11 ,0.12 ,,0.3 ,201.5691765 ,46.0280571 ,-44.579 ,-24.775 ,99.180 ,111.53 ,thin ,K0III: ,5.88 ,0.985 ,20.70 ,4.40 ,6.10 ,,,,,,,,,
98329 ,189004 ,19583989-1956080 ,-0.05 ,-0.11 ,,-0.053 ,-0.033 ,0.005 ,0.078 ,,,,-0.045 ,-0.14 ,,,-0.011 ,-0.064 ,-0.29 ,-0.28 ,,,299.6662803 ,-19.9356417 ,-7.640 ,-20.557 ,-41.645 ,47.07 ,N/A ,K1V ,9.38 ,0.866 ,9999.00 ,9999.00 ,9999.00 ,5094.0 ,4.36 ,,,,,,,
98337 ,189319 ,,-0.17 ,-0.46 ,-0.56 ,-0.07 ,0.42 ,0.14 ,-0.33 ,-3.6 ,,,0.7 ,0.03 ,,,-0.11 ,-0.08 ,0.8 ,-0.56 ,,2.06 ,299.6892843 ,19.4921465 ,-20.970 ,-60.665 ,48.049 ,80.18 ,thin ,M0-III ,3.47 ,1.571 ,-35.80 ,-19.40 ,-13.70 ,3944.4 ,1.25 ,,,,,,,
65574 ,116858 ,13263957-2417359 ,-0.18 ,-0.08 ,-0.01 ,-0.177 ,-0.169 ,-0.113 ,0.02 ,,,,-0.15 ,-0.095 ,,,-0.09 ,-0.188 ,-0.14 ,-0.375 ,,0.43 ,201.6648170 ,-24.2933570 ,16.631 ,11.449 ,22.498 ,30.23 ,thin ,K2.5V(k) ,8.78 ,0.920 ,-42.20 ,-26.90 ,-8.20 ,4951.5 ,4.49 ,,,,,,,
32812 ,,06502404-5102443 ,0.03 ,0.02 ,,-0.2 ,0.037 ,0.052 ,0.232 ,,,,0.19 ,0.15 ,,,0.161 ,0.048 ,-0.05 ,-0.16 ,,,102.6001990 ,-51.0456522 ,-18.344 ,33.703 ,-37.973 ,53.98 ,N/A ,K0 ,9.96 ,0.942 ,9999.00 ,9999.00 ,9999.00 ,4977.0 ,4.41 ,,,,,,,
65583 ,116941 ,13264443+1656549 ,-0.1005 ,0.056 ,0.134 ,-0.0125 ,-0.043 ,-0.0415 ,-0.0725 ,,,,-0.101 ,-0.1395 ,,,-0.112 ,-0.134 ,-0.3185 ,-0.246 ,,-0.015 ,201.6850970 ,16.9486450 ,-19.469 ,-13.992 ,-69.971 ,73.96 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6115.0 ,,,,,,,,
